0 2 0 13500 200000 0     0 2 0.03 0.106747 2.64259 0.0003 1 1 0.01 0.111899 2.31746 0.0001
0 2 0 0 200000 0     0 3 0.6 0.557008 3.59622 0 1 1 0.01 0.111899 3.65981 0.0001
0 2 0 13500 200000 0     0 3 0.6 0.575419 3.60173 0 1 1 0.01 0.111899 2.31746 0.0001
0 2 0 0 200000 0     0 3 0.6 0.557008 3.59622 0 1 1 0.01 0.111899 3.65981 0.0001
0 2 0 13500 200000 0     0 3 0.6 0.575419 3.60173 0 1 1 0.01 0.111899 2.31746 0.0001
0 2 0 0 200000 0     0 3 0.61 0.567007 3.59909 0 1 1 0.01 0.111899 3.65981 0.0001
0 2 0 13500 200000 0     0 3 0.61 0.586679 3.60539 0 1 1 0.01 0.111899 2.31746 0.0001
0 2 0 0 200000 0     0 3 0.61 0.567007 3.59909 0 1 1 0.01 0.111899 3.65981 0.0001
0 2 0 13500 200000 0     0 3 0.61 0.586679 3.60539 0 1 1 0.01 0.111899 2.31746 0.0001
0 2 0 0 200000 0     0 3 1 0.888249 3.74783 0 1 1 0.01 0.111899 3.65981 0.0001
0 2 0 11003.1 200000 0     0 5 1 1.62398 3.73745 0.111192 1 1 0.01 0.111899 2.34632 0.0001
0 2 0 11582.7 200104 0     0 6 0.999477 2.20071 3.68995 0.148492 1 1 0.01 0.111899 2.33908 0.0001
0 2 0 12326.2 265989 0     0 7 0.749429 11.2676 3.67608 0.476723 1 1 0.01 0.111899 2.33029 0.0001
0 2 0 12457.7 286641 0     0 8 0.694714 25.4459 3.61113 0.512226 1 1 0.01 0.111899 2.3288 0.0001
0 2 0 12462.2 384717 0     0 12 0.515061 0.022521 4.9854 0.515061 1 1 0.01 0.111899 2.32875 0.0001
0 2 0 0 200000 0     0 3 0.6 0.557008 3.59622 0 1 1 0.01 0.111899 3.65981 0.0001
0 2 0 13500 200000 0     0 3 0.6 0.575419 3.60173 0 1 1 0.01 0.111899 2.31746 0.0001
0 2 0 0 200000 0     0 3 0.6 0.557008 3.59622 0 1 1 0.01 0.111899 3.65981 0.0001
0 2 0 13500 200000 0     0 3 0.6 0.575419 3.60173 0 1 1 0.01 0.111899 2.31746 0.0001
0 2 0 0 200000 0     0 3 0.8 0.729209 3.67312 0 1 1 0.01 0.111899 3.65981 0.0001
0 2 0 13500 200000 0     0 3 0.8 0.81002 3.70099 0 1 1 0.01 0.111899 2.31746 0.0001
0 2 0 0 200000 0     0 3 2 1.61021 3.95802 0 1 1 0.01 0.111899 3.65981 0.0001
0 2 0 1164.16 200000 0     0 5 2 3.56569 3.87881 0.202998 1 1 0.01 0.111899 2.66336 0.0001
0 2 0 1173.58 200012 0     0 6 1.99988 5.84004 3.70436 0.211209 1 1 0.01 0.111899 2.66222 0.0001
0 2 0 1196.51 200302 0     0 7 1.99697 27.6702 3.63704 0.318535 1 1 0.01 0.111899 2.65949 0.0001
0 2 0 1489.39 203101 0     0 8 1.96931 20.3157 3.65044 0.53935 1 1 0.01 0.111899 2.62859 0.0001
0 2 0 1495.93 628386 0     0 12 0.629734 0.016108 5.05817 0.629734 1 1 0.01 0.111899 2.62797 0.0001
